"Species","Type","dN/dS","Ensembl identifier & gene name","Compare","Location","Target %id","Query %id"
"Prunus persica","1-to-1","n/a","PRUPE_ppa024484mghypothetical protein","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","scaffold_8:14192202-14200878:-1","62","55"
"Saccharomyces cerevisiae","1-to-1","n/a","YGL163CRAD54 DNA-dependent ATPase, stimulates strand exchange by modifying the topology of double-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; member of the SWI/SNF family [Source: SGD; acc: S000003131]","Alignment (protein)Alignment (cDNA)Gene Tree (image)","VII:193707-196403:-1","31","29"
"Selaginella moellendorffii","1-to-many","n/a","SELMODRAFT_137237Putative uncharacterized protein CHR25-2  [Source: UniProtKB/TrEMBL; acc: D8TD90]","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","GL377727:101955-105552:-1","57","49"
"Selaginella moellendorffii","1-to-many","n/a","SELMODRAFT_412612Putative uncharacterized protein CHR25-1  [Source: UniProtKB/TrEMBL; acc: D8RM23]","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","GL377583:1125863-1130332:-1","46","47"
"Setaria italica","1-to-1","0.21956","Si019738m.gUncharacterized protein  [Source: UniProtKB/TrEMBL; acc: K3YZM8]","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","1:38947095-38955414:-1","82","82"
"Solanum lycopersicum","1-to-many","n/a","Solyc04g056400.2No description","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","4:53329103-53331531:1","63","24"
"Solanum lycopersicum","1-to-many","n/a","Solyc04g056410.2No description","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","4:53331546-53342670:1","62","37"
"Theobroma cacao","1-to-1","n/a","TCM_007044RAD54 isoform 2","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","2:4999599-5008020:-1","64","63"
"Triticum aestivum","1-to-1","0.36318","Traes_6AL_2AEB1031FUncharacterized protein  [Source: Uniprot/SPTREMBL; acc: W5G5Y6]","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","IWGSC_CSS_6AL_scaff_5825768:14890-18015:-1","74","25"
"Triticum aestivum","1-to-1","0.36973","Traes_6BL_F3A5A99E6Uncharacterized protein  [Source: Uniprot/SPTREMBL; acc: W5GNL9]","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","IWGSC_CSS_6BL_scaff_4271805:4097-10070:-1","76","21"
"Triticum aestivum","1-to-1","0.27072","Traes_6DL_3FCDE4CA1Uncharacterized protein  [Source: Uniprot/SPTREMBL; acc: W5GVQ8]","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","IWGSC_CSS_6DL_scaff_3216722:689-3675:-1","83","24"
"Vitis vinifera","1-to-1","n/a","VIT_03s0063g00580Putative uncharacterized protein  [Source: UniProtKB/TrEMBL; acc: F6HQC0]","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","3:4076753-4093973:1","58","58"
"Zea mays","1-to-1","0.20681","GRMZM2G083138No description","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","5:209791113-209803331:-1","81","32"
